Library Name,Annual Standard Reference Transactions,Annual Reader's Advisory Transactions,Annual Information Communication Technology Transactions,Annual Electronic Reference Transactions,Annual accessible material equipment or device requests,Annual Library Transactions,Annual Circulation of Physical Items,Annual E-Book Downloads / Borrows,Annual E-Audio Book Downloads / Borrows,Annual Music Downloads / Borrows,Annual Video Downloads / Borrows,Annual E-Magazine Downloads / Borrows,Annual Circulation of E-Books and other downloadable Items,Items Borrowed via Inter Library Loan,Items Loaned via Inter Library Loan,Number of People Using Library Computer Workstations,Number of Times Electronic Databases are Accessed,No. of people using Maker Spaces Digital Media labs Self Publishing centres,Annual In-Library Material Use,Library Visits Made in Person,Electronic Visits to the Library Website,Number of People using Wireless,Programs Held Annually,Annual Program Attendance,Service visits provided to residence-bound residents and people-at-risk
Addington Highlands Twp,0,800,0,0,0,7236,6362,322,261,0,946,320,1849,497,0,450,624,1000,250,4150,6396,1650,43,495,0
Admaston/Bromley Twp,50,1050,50,0,50,9407,4857,1903,718,0,0,421,3042,70,0,250,0,0,4250,3250,2652,350,13,234,0
Ajax,150,700,8100,450,800,943675,743279,129372,75558,1946,6307,22836,236019,1069,635,51800,110396,1500,89400,642900,747552,248400,1876,47987,768
Alderville FN,100,0,0,0,0,3659,759,55,3,0,0,0,58,2,0,0,0,0,2800,1000,0,0,37,378,0
Alfred & Plantagenet Twp,1300,0,250,0,0,23065,21265,1434,0,0,0,1369,2803,259,0,500,0,0,0,10150,7124,250,57,659,0
Algonquins of Pikwakanagan FN,0,0,0,0,200,4800,3500,5,0,0,0,0,5,0,0,300,260,0,1000,2600,0,200,5,76,0
Alnwick/Haldimand Twp,1400,1800,100,300,1100,20713,13863,3553,2057,0,0,1182,6792,450,97,1200,0,0,3950,18700,0,8150,219,2392,0
Armstrong Twp,300,0,600,0,300,6972,5772,645,244,0,0,262,1151,68,82,350,0,750,550,8150,0,300,4,295,0
Arnprior,2400,2750,700,1100,0,115069,107889,18468,8287,23,4335,3759,34872,1043,1523,1600,2080,0,1600,96600,44252,19100,614,10466,336
Asphodel-Norwood,100,150,50,0,0,11868,11018,4869,1613,0,0,711,7193,151,203,500,0,0,250,4250,5720,300,333,2983,39
Assiginack Twp,0,250,100,0,0,3692,3142,1246,664,0,0,2063,3973,123,0,350,0,50,200,2050,312,2050,47,406,4
Athens Twp,50,100,50,200,0,6210,5060,2037,893,0,0,359,3289,166,105,250,0,300,650,7500,44044,100,80,606,16
Atikameksheng Anishnawbek Band No. 6 FN,0,0,0,0,0,1550,1300,0,0,0,0,0,0,0,0,250,0,0,0,1000,0,500,0,0,0
Atikokan,400,1250,1200,2100,250,19415,8437,3297,1526,12,661,386,5882,111,423,3000,5928,0,2550,9950,63180,12250,209,2892,36
Augusta Twp,2100,1100,300,650,50,22579,12079,8697,0,0,0,0,8697,127,0,450,0,0,7300,3000,0,0,134,765,0
